PLAYER NAME,TEAM,PTS,TOV,REB
Luka Dončić,Dallas Mavericks,33.9,4.0,9.2
Giannis Antetokounmpo,Milwaukee Bucks,30.4,3.4,11.5
Shai Gilgeous-Alexander,Oklahoma City Thunder,30.1,2.2,5.5
Jalen Brunson,New York Knicks,28.7,2.4,3.6
Kevin Durant,Phoenix Suns,27.1,3.3,6.6
Devin Booker,Phoenix Suns,27.1,2.6,4.5
Jayson Tatum,Boston Celtics,26.9,2.5,8.1
De'Aaron Fox,Sacramento Kings,26.6,2.6,4.6
Stephen Curry,Golden State Warriors,26.4,2.8,4.5
Nikola Jokić,Denver Nuggets,26.4,3.0,12.4
Tyrese Maxey,Philadelphia 76ers,25.9,1.7,3.7
Anthony Edwards,Minnesota Timberwolves,25.9,3.1,5.4
LeBron James,Los Angeles Lakers,25.7,3.5,7.3
Kyrie Irving,Dallas Mavericks,25.6,1.8,5.0
Anthony Davis,Los Angeles Lakers,24.7,2.1,12.6
Damian Lillard,Milwaukee Bucks,24.3,2.6,4.4
DeMar DeRozan,Chicago Bulls,24.0,1.7,4.3
Kawhi Leonard,Los Angeles Clippers,23.7,1.8,6.1
Jaylen Brown,Boston Celtics,23.0,2.4,5.5
Zion Williamson,New Orleans Pelicans,22.9,2.8,5.8
Cade Cunningham,Detroit Pistons,22.7,3.4,4.3
Paul George,Los Angeles Clippers,22.6,2.1,5.2
Paolo Banchero,Orlando Magic,22.6,3.1,6.9
Jaren Jackson Jr.,Memphis Grizzlies,22.5,2.4,5.5
Dejounte Murray,Atlanta Hawks,22.5,2.6,5.3
Cam Thomas,Brooklyn Nets,22.5,1.9,3.2
Kyle Kuzma,Washington Wizards,22.2,2.7,6.6
Karl-Anthony Towns,Minnesota Timberwolves,21.8,2.9,8.3
Pascal Siakam,Indiana Pacers,21.7,1.8,7.1
Victor Wembanyama,San Antonio Spurs,21.4,3.7,10.6
Jamal Murray,Denver Nuggets,21.2,2.1,4.1
Alperen Sengun,Houston Rockets,21.1,2.6,9.3
Miles Bridges,Charlotte Hornets,21.0,2.0,7.3
Brandon Ingram,New Orleans Pelicans,20.8,2.5,5.1
Jimmy Butler,Miami Heat,20.8,1.7,5.3
RJ Barrett,Toronto Raptors,20.2,2.2,5.4
Tyrese Haliburton,Indiana Pacers,20.1,2.3,3.9
CJ McCollum,New Orleans Pelicans,20.0,1.7,4.3
Scottie Barnes,Toronto Raptors,19.9,2.8,8.2
Terry Rozier,Miami Heat,19.8,1.7,4.0
Franz Wagner,Orlando Magic,19.7,1.9,5.3
Jalen Green,Houston Rockets,19.6,2.3,5.2
Mikal Bridges,Brooklyn Nets,19.6,2.0,4.5
Devin Vassell,San Antonio Spurs,19.5,1.6,3.8
Domantas Sabonis,Sacramento Kings,19.4,3.3,13.7
Bam Adebayo,Miami Heat,19.3,2.3,10.4
Coby White,Chicago Bulls,19.1,2.1,4.5
Jalen Williams,Oklahoma City Thunder,19.1,1.7,4.0
Collin Sexton,Utah Jazz,18.7,2.1,2.6
Nikola Vučević,Chicago Bulls,18.0,1.6,10.5
Trae Young,Atlanta Hawks,25.7,4.4,2.8
Scoot Henderson,Portland Trail Blazers,14.0,3.4,3.1
James Harden,Los Angeles Clippers,16.6,2.6,5.1
Keyonte George,Utah Jazz,13.0,2.5,2.8
Jaden Ivey,Detroit Pistons,15.4,2.5,3.4
Jordan Poole,Washington Wizards,17.4,2.4,2.7
Jusuf Nurkić,Phoenix Suns,10.9,2.3,11.0
Deni Avdija,Washington Wizards,14.7,2.1,7.2
Austin Reaves,Los Angeles Lakers,15.9,2.1,4.3
Russell Westbrook,Los Angeles Clippers,11.1,2.1,5.0
Jalen Duren,Detroit Pistons,13.8,2.1,11.6
Josh Giddey,Oklahoma City Thunder,12.3,2.1,6.4
Malik Monk,Sacramento Kings,15.4,2.1,2.9
D'Angelo Russell,Los Angeles Lakers,18.0,2.1,3.1
Rudy Gobert,Minnesota Timberwolves,14.0,1.6,12.9
Clint Capela,Atlanta Hawks,11.5,1.0,10.6
Jarrett Allen,Cleveland Cavaliers,16.5,1.6,10.5
Nic Claxton,Brooklyn Nets,11.8,1.3,9.9
Ivica Zubac,Los Angeles Clippers,11.7,1.2,9.2
Andre Drummond,Chicago Bulls,8.4,1.0,9.0
Jonas Valančiūnas,New Orleans Pelicans,12.2,1.4,8.8
John Collins,Utah Jazz,15.1,1.4,8.5
Isaiah Hartenstein,New York Knicks,7.8,1.2,8.3
Josh Hart,New York Knicks,9.4,1.5,8.3
Jabari Smith Jr.,Houston Rockets,13.7,1.2,8.1
Nick Richards,Charlotte Hornets,9.7,1.1,8.0
Chet Holmgren,Oklahoma City Thunder,16.5,1.6,7.9
Daniel Gafford,Dallas Mavericks,11.0,1.0,7.6
Walker Kessler,Utah Jazz,8.1,1.0,7.5
Bobby Portis,Milwaukee Bucks,13.8,1.1,7.4
Jabari Walker,Portland Trail Blazers,8.9,0.9,7.1
Michael Porter Jr.,Denver Nuggets,16.7,1.1,7.0
Myles Turner,Indiana Pacers,17.1,1.4,6.9
Amen Thompson,Houston Rockets,9.5,1.5,6.6
Precious Achiuwa,New York Knicks,7.6,1.1,6.6
Saddiq Bey,Atlanta Hawks,13.7,0.9,6.5
Tobias Harris,Philadelphia 76ers,17.2,1.3,6.5
Aaron Gordon,Denver Nuggets,13.9,1.4,6.5
Jeremy Sochan,San Antonio Spurs,11.6,1.9,6.4
Ausar Thompson,Detroit Pistons,8.8,1.3,6.4
Day'Ron Sharpe,Brooklyn Nets,6.8,1.1,6.4
Al Horford,Boston Celtics,8.6,0.7,6.4
